id,text
1,"Margherita Pizza: Handcrafted tomato sauce, fresh buffalo mozzarella, basil, and extra virgin olive oil."
2,"Classic Burger: 100% beef patty, cheddar cheese, crisp lettuce, tomato, and special sauce on a sesame seed bun."
3,"Assorted Sushi: An 8-piece selection featuring fresh salmon, tuna, white fish, and shrimp, served with soy sauce."
4,"Caesar Salad: Romaine lettuce, crunchy croutons, grated Parmesan cheese, and our signature Caesar dressing."
5,"Funghi Risotto: Arborio rice with porcini, champignon, shiitake mushrooms, Parmesan cheese, and a splash of white wine."
6,"Spicy Pad Thai: Stir-fried rice noodles with shrimp, peanuts, egg, bean sprouts, and a tangy tamarind sauce."
7,"Vegan Quinoa Bowl: Fluffy quinoa, avocado, black beans, corn, cherry tomatoes, and a zesty lime dressing."
8,"Beef Stroganoff: Tender strips of beef, mushrooms, onions in a creamy sauce, served over egg noodles."
9,"Chicken Tikka Masala: Grilled chicken chunks in a creamy tomato curry sauce, served with basmati rice."
10,"Fish and Chips: Beer-battered cod served with crispy fries and tartar sauce."
11,"Lamb Gyro: Sliced lamb, tzatziki sauce, tomatoes, onions, wrapped in a soft pita bread."
12,"Pulled Pork Sandwich: Slow-cooked pork shoulder with BBQ sauce on a brioche bun, served with coleslaw."
13,"Butternut Squash Soup: Creamy roasted butternut squash soup with a hint of nutmeg and cinnamon."
14,"Lobster Roll: Chunks of lobster meat dressed in mayo and served on a toasted roll with lettuce."
15,"Chicken Alfredo Pasta: Fettuccine pasta in a rich Alfredo sauce with grilled chicken and Parmesan."
16,"Miso Ramen: Ramen noodles in a miso-based broth with pork slices, nori, and scallions."
17,"Falafel Wrap: Crispy falafel balls, hummus, tahini sauce, lettuce, and tomato in a flour tortilla."
18,"Cobb Salad: Chopped greens, chicken breast, bacon, avocado, egg, blue cheese, and vinaigrette."
19,"Shrimp Scampi: Sautéed shrimp in garlic butter sauce, served over linguine pasta."
20,"BBQ Ribs: Slow-cooked pork ribs glazed with BBQ sauce, served with baked beans and cornbread."
21,"Tofu Stir-Fry: Crispy tofu and mixed vegetables stir-fried in a savory sauce, served with rice."
22,"Eggplant Parmesan: Breaded eggplant slices layered with marinara sauce and melted mozzarella cheese."
23,"Pho: Vietnamese noodle soup with beef slices, rice noodles, herbs, and a flavorful beef broth."
24,"Moussaka: Layered eggplant, minced lamb, béchamel sauce, and cheese, baked to perfection."
25,"Paella: Traditional Spanish rice dish with chicken, rabbit, green beans, and saffron."
26,"Banh Mi: Vietnamese sandwich with pork, pickled vegetables, cilantro, and spicy mayo on a baguette."
27,"Ratatouille: French stewed vegetable dish with zucchini, eggplant, bell peppers, and tomatoes."
28,"Peking Duck: Roasted duck with crispy skin, served with pancakes, scallions, and hoisin sauce."
29,"Chili Con Carne: Spicy stew with ground beef, kidney beans, tomatoes, and chili peppers."
30,"Beef Wellington: Tender beef fillet wrapped in puff pastry with mushroom duxelles."
31,"Tom Yum Soup: Hot and sour Thai soup with shrimp, mushrooms, lemongrass, and kaffir lime leaves."
32,"Chicken Biryani: Fragrant rice dish with spiced chicken, saffron, nuts, and raisins."
33,"Korean BBQ: Grilled marinated beef, served with lettuce wraps and spicy Korean sauce."
34,"Carbonara Pasta: Spaghetti with pancetta, egg, Parmesan cheese, and black pepper."
35,"French Onion Soup: Caramelized onion soup topped with a toasted baguette and melted Gruyère cheese."
36,"Tandoori Chicken: Chicken marinated in yogurt and spices, grilled in a tandoor oven."
37,"Greek Salad: Tomatoes, cucumbers, onions, olives, feta cheese, and olive oil dressing."
38,"Jambalaya: Creole rice dish with shrimp, chicken, sausage, and a blend of spices."
39,"Quiche Lorraine: Savory pie with bacon, onions, and cheese in a flaky crust."
40,"Teriyaki Salmon: Grilled salmon fillet glazed with teriyaki sauce, served with steamed vegetables."
41,"Chicken Enchiladas: Corn tortillas filled with chicken, topped with red sauce and melted cheese."
42,"Clam Chowder: Creamy soup with clams, potatoes, bacon, and onions."
43,"Vegetable Lasagna: Layers of pasta, ricotta cheese, spinach, zucchini, and marinara sauce."
44,"Duck Confit: Slow-cooked duck leg with crispy skin, served with lentils and orange glaze."
45,"Shepherd's Pie: Ground lamb with vegetables, topped with mashed potatoes and baked."
46,"Szechuan Beef: Spicy stir-fried beef with chili peppers, Szechuan peppercorns, and peanuts."
47,"Caprese Salad: Sliced tomatoes, mozzarella cheese, basil, drizzled with balsamic glaze."
48,"Goulash: Hungarian beef stew with paprika, onions, and bell peppers."
49,"Chicken Parmesan: Breaded chicken breast topped with marinara sauce and melted cheese."
50,"Tacos al Pastor: Marinated pork tacos with pineapple, onions, cilantro, and salsa."
