id,text
1,"Shape of You - Ed Sheeran"
2,"Blinding Lights - The Weeknd"
3,"Rockstar - Post Malone"
4,"One Dance - Drake"
5,"Closer - The Chainsmokers"
6,"Thinking Out Loud - Ed Sheeran"
7,"Perfect - Ed Sheeran"
8,"Dance Monkey - Tones and I"
9,"Sunflower - Post Malone"
10,"Senorita - Shawn Mendes"
11,"Bad Guy - Billie Eilish"
12,"Say So - Doja Cat"
13,"Circles - Post Malone"
14,"Someone You Loved - Lewis Capaldi"
15,"Memories - Maroon 5"
16,"Watermelon Sugar - Harry Styles"
17,"Levitating - Dua Lipa"
18,"Mood - 24kGoldn"
19,"Good 4 U - Olivia Rodrigo"
20,"Peaches - Justin Bieber"
21,"Kiss Me More - Doja Cat"
22,"Save Your Tears - The Weeknd"
23,"Blinding Lights - The Weeknd"
24,"Drivers License - Olivia Rodrigo"
25,"Positions - Ariana Grande"
26,"Leave The Door Open - Silk Sonic"
27,"Montero (Call Me By Your Name) - Lil Nas X"
28,"Stay - The Kid LAROI & Justin Bieber"
29,"Industry Baby - Lil Nas X"
30,"Easy On Me - Adele"
31,"Shivers - Ed Sheeran"
32,"Heat Waves - Glass Animals"
33,"Cold Heart - Elton John & Dua Lipa"
34,"Beggin' - Maneskin"
35,"Bad Habits - Ed Sheeran"
36,"Goosebumps - Travis Scott"
37,"Happier Than Ever - Billie Eilish"
38,"Deja Vu - Olivia Rodrigo"
39,"Good Days - SZA"
40,"Without You - The Kid LAROI"
41,"Smokin Out The Window - Silk Sonic"
42,"Need To Know - Doja Cat"
43,"That's What I Want - Lil Nas X"
44,"Woman - Doja Cat"
45,"Ghost - Justin Bieber"
46,"Take My Breath - The Weeknd"
47,"Traitor - Olivia Rodrigo"
48,"Meet Me At Our Spot - THE ANXIETY"
49,"Thats What I Want - Lil Nas X"
50,"Love Nwantiti - CKay"
